label	value	min	max	vary	non-negative	stderr
input.1	1.0	-inf	inf	False	False	0
input.0	0.0	-inf	inf	False	False	0
irf.center	-84.31231284754183	-inf	inf	True	False	0.002999489965289067
irf.width	1.5518865677562208	-inf	inf	True	False	0.0032125042763819357
irf.backsweep	13200.0	-inf	inf	False	False	0
kinetic.1	2.0	-inf	inf	False	True	0
kinetic.2	0.10000000000000002	-inf	inf	False	True	0
kinetic.3	0.060609247910586334	-inf	inf	True	True	0.003727536576866244
kinetic.4	0.05590535819980564	-inf	inf	True	True	0.012741050316447998
kinetic.5	0.02600486182447711	-inf	inf	True	True	0.01314556846897323
kinetic.6	0.13123846661650307	-inf	inf	True	True	0.009080981027287806
kinetic.7	0.04025753739023953	-inf	inf	True	True	0.006435083695582775
kinetic.8	0.00016119316763108416	-inf	inf	True	True	0.006155263127006785
area.1	1.0	-inf	inf	False	False	0
