label	value	min	max	vary	non-negative	stderr
inputs.1	1.0	-inf	inf	False	False	0
inputs.0	0.0	-inf	inf	False	False	0
inputs.iC	1.0	-inf	inf	False	False	0
rel.r1	1.0	-inf	inf	False	False	0
b.1	1.2356606134192356	-inf	inf	True	True	0.0037807758151945058
b.2	2.1998611907983388	-inf	inf	False	True	0.003780775853259858
rates.k1sum	9.499438781848532	-inf	inf	False	True	0
rates.k1	1.6102247386965605	-inf	inf	False	True	0.008511406254140952
rates.k2	5.899449035628472	-inf	inf	False	True	0.0
rates.k3	0.4839723746074984	-inf	inf	True	True	0.037226049282518346
rates.k4	0.03689542749434732	-inf	inf	True	True	0.017662437928822397
rates.k5	0.019210765720446273	-inf	inf	True	True	0.007770020701903434
rates.kC	98.99999999999999	-inf	inf	False	True	0
irf.center	1.198093090291459	-inf	inf	True	False	0.0007140208818006603
irf.width	0.05843366426044195	-inf	inf	True	False	0.000365931461171007
irf.dispc	550.0	-inf	inf	False	False	0
irf.disp1	0.3089571076734129	-inf	inf	True	False	0.0016545821157205464
irf.disp2	-0.08338995531187463	-inf	inf	True	False	0.0008159158929199185
irf.disp3	0.0046666693674110235	-inf	inf	True	False	0.0003831279469918749
