label	value	min	max	vary	non-negative	stderr
inputs.1	1.0	-inf	inf	False	False	
inputs.0	0.0	-inf	inf	False	False	
inputs.iC	1.0	-inf	inf	False	False	
rel.r1	1.0	-inf	inf	False	False	
b.1	1.1521206997555582	-inf	inf	True	True	
b.2	2.3593724416511	-inf	inf	False	True	
rates.k1sum	9.499438781848532	-inf	inf	False	True	
rates.k1	1.3754546116760369	-inf	inf	False	True	
rates.k2	6.906399310605496	-inf	inf	False	True	
rates.k3	0.28387339230737874	-inf	inf	True	True	
rates.k4	0.037851054357727516	-inf	inf	True	True	
rates.k5	0.02058193590868798	-inf	inf	True	True	
rates.kC	98.99999999999999	-inf	inf	False	True	
irf.center	1.19590875650832	-inf	inf	True	False	
irf.width	0.06309743183897515	-inf	inf	True	False	
irf.dispc	550.0	-inf	inf	False	False	
irf.disp1	0.3000029692092826	-inf	inf	True	False	
irf.disp2	-0.07065330351550975	-inf	inf	True	False	
irf.disp3	0.0023393842381971533	-inf	inf	True	False	
