label,value,expression,minimum,maximum,non-negative,vary,standard-error
freq.1,1524.57239,None,-inf,inf,False,False,None
freq.2,1192.94092,None,-inf,inf,False,False,None
freq.3,1158.09082,None,-inf,inf,False,False,None
freq.4,1003.4494,None,-inf,inf,False,False,None
freq.5,982.669128,None,-inf,inf,False,False,None
freq.6,803.801514,None,-inf,inf,False,False,None
freq.7,721.924377,None,-inf,inf,False,False,None
freq.8,499.621704,None,-inf,inf,False,False,None
freq.9,397.539307,None,-inf,inf,False,False,None
freq.10,294.353363,None,-inf,inf,False,False,None
freq.11,251.637604,None,-inf,inf,False,False,None
freq.12,97.3489761,None,-inf,inf,False,False,None
freq.13,34.5177422,None,-inf,inf,False,False,None
freq.14,630.095703,None,-inf,inf,False,False,None
freq.15,1441.5509,None,-inf,inf,False,False,None
freq.16,2454.68579,None,-inf,inf,False,False,None
freq.17,1443.96948,None,-inf,inf,False,False,None
freq.18,1448.87329,None,-inf,inf,False,False,None
freq.19,1399.99622,None,-inf,inf,False,False,None
rates.1,1.54321623,None,-inf,inf,False,False,None
rates.2,2.81070209,None,-inf,inf,False,False,None
rates.3,1.07494009,None,-inf,inf,False,False,None
rates.4,1.65555012,None,-inf,inf,False,False,None
rates.5,5.95444632,None,-inf,inf,False,False,None
rates.6,0.200000003,None,-inf,inf,False,False,None
rates.7,0.204981476,None,-inf,inf,False,False,None
rates.8,0.886999667,None,-inf,inf,False,False,None
rates.9,0.801029027,None,-inf,inf,False,False,None
rates.10,1.83298051,None,-inf,inf,False,False,None
rates.11,1.09177792,None,-inf,inf,False,False,None
rates.12,0.317949504,None,-inf,inf,False,False,None
rates.13,2.02649665,None,-inf,inf,False,False,None
rates.14,19.9859161,None,-inf,inf,False,False,None
rates.15,-7.97763205,None,-inf,inf,False,False,None
rates.16,-8.3003521,None,-inf,inf,False,False,None
rates.17,-6.16778708,None,-inf,inf,False,False,None
rates.18,-7.08424282,None,-inf,inf,False,False,None
rates.19,-8.0002079,None,-inf,inf,False,False,None
j.1,1.0,None,-inf,inf,False,False,None
j.0,0.0,None,-inf,inf,False,False,None
kinetic.1,5.96975613,None,-inf,inf,False,False,None
kinetic.2,2.64231563,None,-inf,inf,False,False,None
kinetic.3,0.110913947,None,-inf,inf,False,False,None
irf.center,0.0127411373,None,-inf,inf,False,True,1.5793103478887205e-05
irf.width,0.006,None,-inf,inf,True,False,None
irf.dispcenter,600.0,None,-inf,inf,False,False,None
irf.disp1,-0.0211437792,None,-inf,inf,False,True,8.29095469406223e-05
irf.disp2,0.0106876018,None,-inf,inf,False,True,0.00044847499131523376
artifact.CAwidth,0.018756236899999997,None,-inf,inf,True,True,0.0006703620724315905
