label,value,standard_error,expression,maximum,minimum,non_negative,vary
inputs.1,0.5,None,None,,,True,False
inputs.2,0.251,None,None,,,True,True
inputs.3,0.252,None,None,,,True,True
inputs.7,0.21,None,None,,,True,True
inputs.8,0.22,None,None,,,True,True
scale.1,1.0,None,None,,,False,False
scale.2,1.2,None,None,,,False,True
rates.k1,0.199,None,None,,,True,True
rates.k2,0.5,None,None,,,True,True
rates.k3,1.1,None,None,,,True,True
irf.center,0.5,None,None,,,False,True
irf.width,0.1,None,None,,,False,True
area.1,1.0,None,None,,,False,False
