label,value,standard_error,expression,maximum,minimum,non_negative,vary
rates.k1,0.0499,None,None,,,True,True
rates.k2,2.31,None,None,,,True,True
rates.k3,0.509,None,None,,,True,True
inputs.1,0.5,None,None,,,True,False
inputs.2,0.18,None,None,,,True,True
inputs.3,0.303,None,None,,,True,True
inputs.7,0.387,None,None,,,True,True
inputs.8,0.394,None,None,,,True,True
inputs.9,0.288,None,None,,,True,True
inputs.10,0.352,None,None,,,True,True
irf.center1,0.4,None,None,,,False,True
irf.center2,0.41,None,None,,,False,True
irf.center3,0.42,None,None,,,False,True
irf.width,0.05998,None,None,,,False,True
irf.dispc,500.0,None,None,,,False,False
irf.disp1,0.01,None,None,,,False,True
irf.disp2,0.001,None,None,,,False,True
scale.1,1.0,None,None,,,False,False
scale.2,1.30557,None,None,,,False,True
scale.3,1.1635,None,None,,,False,True
pen.1,1.0,None,None,,,False,False
area.1,1.0,None,None,,,False,False
