label,value,standard_error,expression,maximum,minimum,non_negative,vary
rates.k1,0.04999082537033388,1.1858342360966752e-09,None,,,True,True
rates.k2,2.3105924062501186,7.257240541194923e-07,None,,,True,True
rates.k3,0.509333310336864,1.0221983961414621e-07,None,,,True,True
inputs.1,0.5,None,None,,,True,False
inputs.2,0.17963227181374536,1.64816931272988e-07,None,,,True,True
inputs.3,0.3029716868862949,6.304525706689748e-08,None,,,True,True
inputs.7,0.38686255337647096,4.0140220378634963e-07,None,,,True,True
inputs.8,0.3940873591606029,8.991772451166195e-08,None,,,True,True
inputs.9,0.2876862366003909,2.885374803292827e-07,None,,,True,True
inputs.10,0.35219684526030515,7.632897890105669e-08,None,,,True,True
irf.center1,0.4000046246770376,3.9291330159520766e-09,None,,,False,True
irf.center2,0.4100000001377892,3.5598412321445343e-09,None,,,False,True
irf.center3,0.42000000007761684,3.656418097094951e-09,None,,,False,True
irf.width,0.059980790920792205,2.415529977822058e-09,None,,,False,True
irf.dispc,500.0,None,None,,,False,False
irf.disp1,0.009999999986776966,9.0226396754225e-09,None,,,False,True
irf.disp2,0.0010000001765555337,1.3627611542462266e-08,None,,,False,True
scale.1,1.0,None,None,,,False,False
scale.2,1.3055691453651008,2.000458715421089e-07,None,,,False,True
scale.3,1.1635417577879419,1.0681318683812487e-07,None,,,False,True
pen.1,1.0,None,None,,,False,False
area.1,1.0,None,None,,,False,False
