label,value,standard_error,expression,maximum,minimum,non_negative,vary
rates.k1,0.05,None,None,,,True,True
rates.k2,2.0,None,None,,,True,True
rates.k3,0.5,None,None,,,True,True
inputs.1,0.5,None,None,,,True,False
inputs.2,0.161,None,None,,,True,True
inputs.3,0.311,None,None,,,True,True
inputs.7,0.322,None,None,,,True,True
inputs.8,0.415,None,None,,,True,True
inputs.9,0.242,None,None,,,True,True
inputs.10,0.363,None,None,,,True,True
irf.center,0.4,None,None,,,False,True
irf.width,0.05998,None,None,,,False,True
scale.1,1.0,None,None,,,False,False
scale.2,1.27,None,None,,,False,True
scale.3,1.13,None,None,,,False,True
pen.1,1.0,None,None,,,False,False
area.1,1.0,None,None,,,False,False
