label,value,standard_error,expression,maximum,minimum,non_negative,vary
rates.k1,0.049990130395457674,6.979766171730912e-05,None,,,True,True
rates.k2,1.9974225822941307,0.0006989258566479129,None,,,True,True
rates.k3,0.49964690500420195,0.00044432623042854266,None,,,True,True
inputs.1,0.5,None,None,,,True,False
inputs.2,0.16129208226756184,0.00325338992901769,None,,,True,True
inputs.3,0.31139091417851383,0.005384890881225822,None,,,True,True
inputs.7,0.32256125857760193,0.002976719023409819,None,,,True,True
inputs.8,0.415096793505807,0.005396201407400721,None,,,True,True
inputs.9,0.2419258042218051,0.003062367511618578,None,,,True,True
inputs.10,0.36324282850935785,0.005388557423167459,None,,,True,True
irf.center,0.4000083527127781,4.7836779390400276e-06,None,,,False,True
irf.width,0.05997858789577258,5.900028283380962e-06,None,,,False,True
scale.1,1.0,None,None,,,False,False
scale.2,1.2723825375677182,0.0002501924460690082,None,,,False,True
scale.3,1.1361915455463845,0.00013043845903961022,None,,,False,True
pen.1,1.0,None,None,,,False,False
area.1,1.0,None,None,,,False,False
