label,value,standard_error,expression,maximum,minimum,non_negative,vary
rates.k1,0.04996312,None,None,,,True,True
rates.k2,1.9917,None,None,,,True,True
rates.k3,0.49901,None,None,,,True,True
inputs.1,0.5,None,None,,,True,False
inputs.2,0.24229,None,None,,,True,True
inputs.3,0.36318,None,None,,,True,True
inputs.7,0.16137,None,None,,,True,True
inputs.8,0.31157,None,None,,,True,True
inputs.9,0.09617,None,None,,,True,True
inputs.10,0.20806,None,None,,,True,True
irf.center1,0.499983,None,None,,,True,True
irf.center2,0.400024,None,None,,,True,True
irf.center3,0.3000911,None,None,,,True,True
irf.width1,0.059963,None,None,,,True,True
irf.width2,0.0899015,None,None,,,True,True
scale.1,1.0,None,None,,,True,False
scale.2,0.8800517,None,None,,,True,True
scale.3,72.73,None,None,,,True,True
area.1,1.0,None,None,,,False,False
