label,value,expression,minimum,maximum,non-negative,vary,standard-error
rates.k1,0.05,None,-inf,inf,True,True,None
rates.k2,0.5,None,-inf,inf,True,True,None
rates.k3,2.0,None,-inf,inf,True,True,None
inputs.1,0.5,None,-inf,inf,True,False,None
inputs.2,0.051,None,-inf,inf,True,True,None
inputs.3,0.252,None,-inf,inf,True,True,None
inputs.7,0.0521,None,-inf,inf,True,True,None
inputs.8,0.22,None,-inf,inf,True,True,None
inputs.9,0.0522,None,-inf,inf,True,True,None
inputs.10,0.22,None,-inf,inf,True,True,None
irf.center1,0.4,None,-inf,inf,False,True,None
irf.center2,0.4,None,-inf,inf,False,True,None
irf.center3,0.4,None,-inf,inf,False,True,None
irf.width,0.06,None,-inf,inf,False,True,None
irf.dispc,500.0,None,-inf,inf,False,False,None
irf.disp1,0.01,None,-inf,inf,False,True,None
irf.disp2,0.001,None,-inf,inf,False,True,None
scale.1,1.0,None,-inf,inf,False,False,None
scale.2,1.3,None,-inf,inf,False,True,None
scale.3,1.1,None,-inf,inf,False,True,None
pen.1,1.0,None,-inf,inf,False,False,None
area.1,1.0,None,-inf,inf,False,False,None
