label,value,expression,minimum,maximum,non-negative,vary,standard-error
rates.k1,0.04999014739385694,None,-inf,inf,True,True,2.3705151021105075e-08
rates.k2,0.5091922286205153,None,-inf,inf,True,True,1.9950534988798684e-07
rates.k3,2.3111288281021007,None,-inf,inf,True,True,3.11333027843282e-07
inputs.1,0.5,None,-inf,inf,True,False,None
inputs.2,0.30557778372300115,None,-inf,inf,True,True,3.8975425661761337e-07
inputs.3,0.18104852760720255,None,-inf,inf,True,True,8.182171096527245e-07
inputs.7,0.3974407003650372,None,-inf,inf,True,True,4.008761174335723e-07
inputs.8,0.3899752579398808,None,-inf,inf,True,True,7.282479898866236e-07
inputs.9,0.35523501451819645,None,-inf,inf,True,True,3.9447216675854255e-07
inputs.10,0.28994974380782346,None,-inf,inf,True,True,7.500911913058027e-07
irf.center1,0.4000046252239815,None,-inf,inf,False,True,3.9192626797267185e-09
irf.center2,0.40999999987783486,None,-inf,inf,False,True,3.5020863332809654e-09
irf.center3,0.41999999990066156,None,-inf,inf,False,True,3.643161402427473e-09
irf.width,0.059980790942255356,None,-inf,inf,False,True,2.4031652875461307e-09
irf.dispc,500.0,None,-inf,inf,False,False,None
irf.disp1,0.00999999970483599,None,-inf,inf,False,True,9.011629842658206e-09
irf.disp2,0.0009999998239663972,None,-inf,inf,False,True,1.3619100611141448e-08
scale.1,1.0,None,-inf,inf,False,False,None
scale.2,1.3068418502110482,None,-inf,inf,False,True,1.0407594574742372e-07
scale.3,1.164198936523686,None,-inf,inf,False,True,5.7809940229581465e-08
pen.1,1.0,None,-inf,inf,False,False,None
area.1,1.0,None,-inf,inf,False,False,None
