label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1.0,None,None,,,False,False
input.0,0.0,None,None,,,False,False
irf.center,-84.0,None,None,,,False,True
irf.width,1.55,None,None,,,False,True
irf.backsweep,13200.0,None,None,,,False,False
kinetic.1,2.0,None,None,,,True,False
kinetic.2,0.1,None,None,,,True,False
kinetic.3,0.06,None,None,,,True,True
kinetic.4,0.027,None,None,,,True,True
kinetic.5,0.056,None,None,,,True,True
kinetic.6,0.039,None,None,,,True,True
kinetic.7,0.133,None,None,,,True,True
kinetic.8,0.00016,None,None,,,True,True
area.1,1.0,None,None,,,False,False
