label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1.0,None,None,,,False,False
input.0,0.0,None,None,,,False,False
irf.center,-84.31133524709601,0.0030425160940632224,None,,,False,True
irf.width,1.5540575590226102,0.0032367150855025658,None,,,False,True
irf.backsweep,13200.0,None,None,,,False,False
kinetic.1,2.0,None,None,,,True,False
kinetic.2,0.1,None,None,,,True,False
kinetic.3,0.06306009502891566,0.002845109372376579,None,,,True,True
kinetic.4,0.02714130032633106,0.01246565840115042,None,,,True,True
kinetic.5,0.05660918742479267,0.012932943421271536,None,,,True,True
kinetic.6,0.03966858809119969,0.006219678751632373,None,,,True,True
kinetic.7,0.13327895749006446,0.00840667634587595,None,,,True,True
kinetic.8,0.0001631598913290517,0.006105822028421924,None,,,True,True
area.1,1.0,None,None,,,False,False
