label,value,standard_error,expression,maximum,minimum,non_negative,vary
inputs.1,1.0,None,None,,,False,False
inputs.0,0.0,None,None,,,False,False
inputs.iC,1.0,None,None,,,False,False
scale.1,1.0,None,None,,,False,False
rel.r1,1.0,None,None,,,False,False
b.1,0.16000469537088205,0.002059924481252053,None,,,True,True
b.2,0.839995304629118,None,1.0 - $b.1,,,True,False
rates.k1sum,9.49943878184853,None,None,,,True,False
rates.k1,1.5199548084840169,None,$b.1 * $rates.k1sum,,,True,False
rates.k2,7.9794839733645135,None,$b.2 * $rates.k1sum,,,True,False
rates.k3,0.3609049065829856,0.009464229640528045,None,,,True,True
rates.k4,0.03994944118921632,0.0003638892650650472,None,,,True,True
rates.k5,0.02005345708968568,8.039091841665744e-05,None,,,True,True
rates.kC,99.0,None,None,,,True,False
irf.center,1.2009421387618902,0.0007781616434123444,None,,,False,True
irf.width,0.061228199622370756,0.0002424523217003857,None,,,False,True
irf.dispc,550.0,None,None,,,False,False
irf.disp1,0.2893771820904715,0.0017369940274306402,None,,,False,True
irf.disp2,-0.07684418069365002,0.001383394398201401,None,,,False,True
irf.disp3,0.009889576443302323,0.00056657956339516,None,,,False,True
