label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1.0,None,None,,,False,False
input.0,0.0,None,None,,,False,False
irf.common_dispcenter,550.0,None,None,,,False,False
irf.data1_disp1,-0.840490937,None,None,,,False,False
irf.data1_disp2,-0.354524136,None,None,,,False,False
irf.center1,1.21,None,None,,,False,True
irf.width1,0.05053,None,None,,,False,True
irf.center2,0.69,None,None,,,False,True
irf.width2,0.062,None,None,,,False,True
rates.kocfast,0.3,None,None,,,True,True
rates.kocslow,0.04,None,None,,,True,True
rates.kcocfast,0.6,None,$rates.kocfast*2,,,True,False
rates.kcocslow,0.08,None,$rates.kocslow*2,,,True,False
rates.k21,5.0,None,None,,,True,True
rates.k3total,0.019,None,None,,,True,True
rates.Tyield,0.3,None,None,,,True,False
rates.k33,0.0133,None,$rates.k3total*(1-$rates.Tyield),,,True,False
rates.k43,0.005699999999999999,None,$rates.k3total*$rates.Tyield,,,True,False
rates.k44,1e-05,None,None,,,True,False
mc_scale.1,0.08999999999999997,None,1-$mc_scale.2,,,False,False
mc_scale.2,0.91,None,None,,,False,True
rel.r1,1.0,None,None,,,False,False
