label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1.0,None,None,,,False,False
input.0,0.0,None,None,,,False,False
irf.common_dispcenter,550.0,None,None,,,False,False
irf.data1_disp1,-0.840490937,None,None,,,False,False
irf.data1_disp2,-0.354524136,None,None,,,False,False
irf.center1,1.218811705147222,0.000497349861543973,None,,,False,True
irf.width1,0.05177304761117278,0.00025797845925931034,None,,,False,True
irf.center2,0.6888432481332777,0.0003574430588653545,None,,,False,True
irf.width2,0.05980636281331041,0.00021081350322933693,None,,,False,True
rates.kocfast,0.06375804625437403,0.018321374809422884,None,,,True,True
rates.kocslow,0.040133015051843655,0.0017241601521523744,None,,,True,True
rates.kcocfast,0.12751609250874807,None,$rates.kocfast*2,,,True,False
rates.kcocslow,0.08026603010368731,None,$rates.kocslow*2,,,True,False
rates.k21,0.44305162648897617,0.004818188411957006,None,,,True,True
rates.k3total,0.020330652639668996,5.831466098537488e-05,None,,,True,True
rates.Tyield,0.3,None,None,,,True,False
rates.k33,0.014231456847768297,None,$rates.k3total*(1-$rates.Tyield),,,True,False
rates.k43,0.006099195791900699,None,$rates.k3total*$rates.Tyield,,,True,False
rates.k44,1e-05,None,None,,,True,False
mc_scale.1,-0.19685510197737166,None,1-$mc_scale.2,,,False,False
mc_scale.2,1.1968551019773717,0.20132867506605298,None,,,False,True
rel.r1,1.0,None,None,,,False,False
