label,value,standard_error,expression,maximum,minimum,non_negative,vary
inputs.1,1.0,None,None,,,False,False
inputs.0,0.0,None,None,,,False,False
inputs.iC,1.0,None,None,,,False,False
scale.1,1.0,None,None,,,False,False
scale.2,1.3,None,None,,,False,True
rel.r1,1.0,None,None,,,False,False
b.1,0.087,None,None,,,True,True
b.2,0.913,None,1 - $b.1,,,True,False
rates.k1sum,9.49943878184853,None,None,,,True,False
rates.k1,0.8265,None,None,,,True,False
rates.k2,8.7635,None,None,,,True,False
rates.k3,0.4839723,None,None,,,True,True
rates.k4,0.0368954,None,None,,,True,True
rates.k3d2,0.7,None,None,,,True,True
rates.k4d2,0.085,None,None,,,True,True
rates.k5,0.0192859,None,None,,,True,True
rates.kC,99.0,None,None,,,True,False
irf.center,1.19809,None,None,,,False,True
irf.width,0.05843,None,None,,,False,True
irf.dispc,550.0,None,None,,,False,False
irf.disp1,0.3089571,None,None,,,False,True
irf.disp2,-0.0833899,None,None,,,False,True
irf.disp3,0.0047,None,None,,,False,True
irf2.center,0.7,None,None,,,False,True
