label,value,standard_error,expression,maximum,minimum,non_negative,vary
inputs.1,1.0,None,None,,,False,False
inputs.0,0.0,None,None,,,False,False
inputs.iC,1.0,None,None,,,False,False
scale.1,1.0,None,None,,,False,False
scale.2,1.2604331004310625,0.0004943530179656677,None,,,False,True
rel.r1,1.0,None,None,,,False,False
b.1,197.35688127216778,5.011600145491331e-17,None,,,True,True
b.2,-196.35688127216778,None,1 - $b.1,,,True,False
rates.k1sum,9.49943878184853,None,None,,,True,False
rates.k1,0.8265,None,None,,,True,False
rates.k2,8.7635,None,None,,,True,False
rates.k3,0.23990509239538294,0.030318739091110797,None,,,True,True
rates.k4,0.04467397198110058,0.003032780992074544,None,,,True,True
rates.k3d2,1.4883322448595046e+20,3.346602551714434e-17,None,,,True,True
rates.k4d2,0.10611244274948924,0.0036481443152460566,None,,,True,True
rates.k5,0.018626822375981594,0.0015152982936774122,None,,,True,True
rates.kC,99.0,None,None,,,True,False
irf.center,1.2008750382028643,0.0011160582442076843,None,,,False,True
irf.width,0.07183369756360607,0.00025434140108494016,None,,,False,True
irf.dispc,550.0,None,None,,,False,False
irf.disp1,0.2674378535589236,0.0034284962917662544,None,,,False,True
irf.disp2,-0.02828962543378716,0.004574617627389933,None,,,False,True
irf.disp3,-0.0037501848104680674,0.0018947361614806836,None,,,False,True
irf2.center,0.6692453598590589,0.0010606135112837492,None,,,False,True
